time_index,date,vol_wass_betti0,vol_wass_betti1,vol_wass_entropy,log_wass_betti0,log_wass_betti1,log_wass_entropy,log_dtw_betti0,log_dtw_betti1,log_dtw_entropy,vol_dtw_betti0,vol_dtw_betti1,vol_dtw_entropy,SP500,VIX,BVOL,CVI,vol_btc_parkinson,vol_btc_rogers,fng_value,fng_classification
0,2020/8/21,1.26,0.0,0.0,1.54,0.0,0.0,1.9,0.0,0.0,1.24,0.0,0.0,3397.15991210937,22.5400009155273,43.15,75.7958,0.000292847720291,0.0104931185965289,81.0,Extreme Greed
1,2020/8/22,1.24,0.0,0.0,1.62,0.0,0.0,1.94,0.0,0.0,1.26,0.0,0.0,,,,,0.0001560066489159,0.0156492737978863,78.0,Extreme Greed
2,2020/8/23,1.22,0.0,0.0,1.62,0.0,0.0,1.92,0.0,0.0,1.26,0.0,0.0,,,,,6.276764054458432e-05,0.0102531685045156,76.0,Extreme Greed
3,2020/8/24,1.26,0.0,0.0,1.72,0.0,0.0,2.02,0.0,0.0,1.24,0.0,0.0,3431.28002929687,22.3700008392334,44.06,73.701,8.934113606158901e-05,0.0089048953860197,78.0,Extreme Greed
4,2020/8/25,1.28,0.0,0.0,1.64,0.0,0.0,1.96,0.0,0.0,1.26,0.0,0.0,3443.6201171875,22.0300006866455,43.16,73.7044,0.0009473938779762,0.0284450033012063,75.0,Greed
5,2020/8/26,1.3,0.0,0.0,1.7,0.0,0.0,2.02,0.0,0.0,1.28,0.0,0.0,3478.72998046875,23.2700004577636,43.21,72.5659,0.000150397002158,0.0124596632441571,76.0,Extreme Greed
6,2020/8/27,1.3,0.0,0.0,1.72,0.0,0.0,2.06,0.0,0.0,1.3,0.0,0.0,3484.55004882812,24.4699993133544,36.28,72.1712,0.0004126756196302,0.0219675380476021,75.0,Greed
7,2020/8/28,1.32,0.0,0.0,1.7,0.0,0.0,2.02,0.0,0.0,1.34,0.0,0.0,3508.01000976562,22.9599990844726,36.35,68.7425,0.000145002039253,0.0045500670607925,74.0,Greed
8,2020/8/29,1.3,0.0,0.0,1.74,0.0,0.0,2.06,0.0,0.0,1.32,0.0,0.0,,,,,3.86718875013265e-05,0.0070186889525555,79.0,Extreme Greed
9,2020/8/30,1.32,0.0,0.0,1.8,0.0,0.0,2.08,0.0,0.0,1.3,0.0,0.0,,,,,0.0001330736908911,0.0057035377355525,75.0,Greed
10,2020/8/31,1.32,0.0,0.0,1.78,0.0,0.0,2.1,0.0,0.0,1.34,0.0,0.0,3500.31005859375,26.4099998474121,32.47,68.3376,7.686418035938216e-05,0.0102700007382321,75.0,Greed
11,2020/9/1,1.32,0.0,0.0,1.8,0.0,0.0,2.06,0.0,0.0,1.32,0.0,0.0,3526.64990234375,26.1200008392334,27.73,70.0088,0.0005592919671729,0.0217495636781714,75.0,Greed
12,2020/9/2,1.32,0.0,0.0,1.74,0.0,0.0,2.12,0.0,0.0,1.32,0.0,0.0,3580.84008789062,26.5699996948242,32.0,67.3533,0.0012126058321388,0.0250891273038093,83.0,Extreme Greed
13,2020/9/3,1.34,0.0,0.0,1.74,0.0,0.0,2.14,0.0,0.0,1.3,0.0,0.0,3455.06005859375,33.599998474121,32.26,70.5126,0.0049130744105725,0.0323330274624104,79.0,Extreme Greed
14,2020/9/4,1.34,0.0,0.0,1.72,0.0,0.0,2.1,0.0,0.0,1.3,0.0,0.0,3426.9599609375,30.75,41.14,73.659,0.0006887808327497,0.0257032460423513,40.0,Fear
15,2020/9/5,1.34,0.0,0.0,1.7,0.0,0.0,2.18,0.0,0.0,1.32,0.0,0.0,,,,,0.0013808686673805,0.0385505181920134,41.0,Fear
16,2020/9/6,1.34,0.0,0.0,1.74,0.0,0.0,2.18,0.0,0.0,1.34,0.0,0.0,,,,,0.000305598300996,0.0192240410819778,41.0,Fear
17,2020/9/7,1.36,0.0,0.0,1.76,0.0,0.0,2.22,0.0,0.0,1.32,0.0,0.0,,,,,0.0008146285128934,0.0405618021650001,41.0,Fear
18,2020/9/8,1.34,0.0,0.0,1.74,0.0,0.0,2.18,0.0,0.0,1.34,0.0,0.0,3331.84008789062,31.4599990844726,40.59,85.5059,0.0007679880078919,0.0299382978627822,41.0,Fear
19,2020/9/9,1.34,0.0,0.0,1.74,0.0,0.0,2.2,0.0,0.0,1.32,0.0,0.0,3398.9599609375,28.8099994659423,41.73,84.2996,0.0003863792973408,0.0219053390931778,38.0,Fear
20,2020/9/10,1.34,0.0,0.0,1.7,0.0,0.0,2.16,0.0,0.0,1.32,0.0,0.0,3339.18994140625,29.7099990844726,41.91,75.9582,0.000236892622855,0.0185805274552134,38.0,Fear
21,2020/9/11,1.34,0.0,0.0,1.72,0.0,0.0,2.22,0.0,0.0,1.32,0.0,0.0,3340.96997070312,26.8700008392334,41.32,72.6631,0.0002947612880684,0.0241700677247251,41.0,Fear
22,2020/9/12,1.36,0.0,0.0,1.7,0.0,0.0,2.14,0.0,0.0,1.34,0.0,0.0,,,,,0.0002717905948843,0.019322212339071,41.0,Fear
23,2020/9/13,1.36,0.0,0.0,1.7,0.0,0.0,2.12,0.0,0.0,1.34,0.0,0.0,,,,,0.0004152718671311,0.0223922560781688,38.0,Fear
24,2020/9/14,1.36,0.0,0.0,1.68,0.0,0.0,2.04,0.0,0.0,1.34,0.0,0.0,3383.5400390625,25.8500003814697,40.73,67.3444,0.0009274304693853,0.0271360875665508,39.0,Fear
25,2020/9/15,1.34,0.0,0.0,1.7,0.0,0.0,2.04,0.0,0.0,1.32,0.0,0.0,3401.19995117187,25.5900001525878,42.89,67.713,0.0002463436170749,0.0184616910724457,47.0,Neutral
