time_index,date,vol_wass_betti0,vol_wass_betti1,vol_wass_entropy,log_wass_betti0,log_wass_betti1,log_wass_entropy,log_dtw_betti0,log_dtw_betti1,log_dtw_entropy,vol_dtw_betti0,vol_dtw_betti1,vol_dtw_entropy,SP500,VIX,BVOL,CVI,vol_btc_parkinson,vol_btc_rogers,fng_value,fng_classification,event_label,sp_ret,sp_vol7,fear&greed,vol_wass_clustering,vol_wass_degree_centrality,vol_wass_pagerank,log_wass_clustering,log_wass_degree_centrality,log_wass_pagerank,log_dtw_clustering,log_dtw_degree_centrality,log_dtw_pagerank,vol_dtw_clustering,vol_dtw_degree_centrality,vol_dtw_pagerank
0,2020-08-21,1.26,0.0,0.0,1.54,0.0,0.0,1.9,0.0,0.0,1.24,0.0,0.0,3397.15991210937,22.5400009155273,43.15,75.7958,0.000292847720291,0.0104931185965289,81.0,Extreme Greed,0,,,81.0,0.9731347466274078,0.9730344052495976,0.1006733117546551,0.9731347466274078,0.9730344052495976,0.1006733117546551,0.6153895970171631,0.618737837533041,0.1099288552169207,0.9474368497410957,0.9472796015345004,0.1016410225117247
1,2020-08-22,1.24,0.0,0.0,1.62,0.0,0.0,1.94,0.0,0.0,1.26,0.0,0.0,3397.15991210937,22.5400009155273,43.15,75.7958,0.0001560066489159,0.0156492737978863,78.0,Extreme Greed,0,0.0,,78.0,0.9713665430353684,0.9713007467824726,0.1006982314277499,0.9713665430353684,0.9713007467824726,0.1006982314277499,0.6065010467219049,0.6101884883327087,0.1096864146064078,0.9494485257529316,0.9490501316547224,0.1015346576439404
2,2020-08-23,1.22,0.0,0.0,1.62,0.0,0.0,1.92,0.0,0.0,1.26,0.0,0.0,3397.15991210937,22.5400009155273,43.15,75.7958,6.276764054458432e-05,0.0102531685045156,76.0,Extreme Greed,0,0.0,,76.0,0.97147771347364,0.9713951983516896,0.1006703763182022,0.97147771347364,0.9713951983516896,0.1006703763182022,0.6046881563552751,0.6075388484999313,0.1098906371450997,0.9487178756652792,0.9482740656271292,0.101507875280907
3,2020-08-24,1.26,0.0,0.0,1.72,0.0,0.0,2.02,0.0,0.0,1.24,0.0,0.0,3431.28002929687,22.3700008392334,44.06,73.701,8.934113606158901e-05,0.0089048953860197,78.0,Extreme Greed,0,0.010043718303008653,,78.0,0.9686131342253624,0.9685680340338988,0.100737761433397,0.9686131342253624,0.9685680340338988,0.100737761433397,0.5763238943071454,0.5804240098179345,0.1109798069920356,0.9494240738485964,0.9490540417482304,0.1015487698107731
4,2020-08-25,1.28,0.0,0.0,1.64,0.0,0.0,1.96,0.0,0.0,1.26,0.0,0.0,3443.6201171875,22.0300006866455,43.16,73.7044,0.0009473938779762,0.0284450033012063,75.0,Greed,0,0.0035963511532921544,,75.0,0.9698128289283174,0.969786812400256,0.1006957615720559,0.9698128289283174,0.969786812400256,0.1006957615720559,0.5812079253291965,0.5847021867835911,0.1099743370978177,0.9432050306839492,0.9426032718860766,0.101748105380094
5,2020-08-26,1.3,0.0,0.0,1.7,0.0,0.0,2.02,0.0,0.0,1.28,0.0,0.0,3478.72998046875,23.2700004577636,43.21,72.5659,0.000150397002158,0.0124596632441571,76.0,Extreme Greed,0,0.010195626139483993,,76.0,0.9660450854591582,0.966041958135262,0.1007813196277705,0.9660450854591582,0.966041958135262,0.1007813196277705,0.5588891586959102,0.5639110699447158,0.1111122795612717,0.9373173517169924,0.9369869983027742,0.101958812687854
6,2020-08-27,1.3,0.0,0.0,1.72,0.0,0.0,2.06,0.0,0.0,1.3,0.0,0.0,3484.55004882812,24.4699993133544,36.28,72.1712,0.0004126756196302,0.0219675380476021,75.0,Greed,0,0.0016730440109025135,,75.0,0.9645995958716608,0.964605585526644,0.1007624732852532,0.9645995958716608,0.964605585526644,0.1007624732852532,0.5449168356124053,0.5501552787034025,0.1111884857970389,0.9210773135687876,0.9210969334199024,0.1023430896268824
7,2020-08-28,1.32,0.0,0.0,1.7,0.0,0.0,2.02,0.0,0.0,1.34,0.0,0.0,3508.01000976562,22.9599990844726,36.35,68.7425,0.000145002039253,0.0045500670607925,74.0,Greed,0,0.00673256535528588,0.004423178994249316,74.0,0.9652870502270224,0.9652719257996146,0.1007287830385661,0.9652870502270224,0.9652719257996146,0.1007287830385661,0.5525766454481376,0.5569642767140773,0.111895484555277,0.9147031093193074,0.9149162471449584,0.1024429537663319
8,2020-08-29,1.3,0.0,0.0,1.74,0.0,0.0,2.06,0.0,0.0,1.32,0.0,0.0,3508.01000976562,22.9599990844726,36.35,68.7425,3.86718875013265e-05,0.0070186889525555,79.0,Extreme Greed,0,0.0,0.004423178994249316,79.0,0.9639368409518444,0.9639215289857171,0.1008274505997756,0.9639368409518444,0.9639215289857171,0.1008274505997756,0.5461077285129416,0.5508907845928281,0.112221423310952,0.9110395383042856,0.9115257452518456,0.1025778483729984
9,2020-08-30,1.32,0.0,0.0,1.8,0.0,0.0,2.08,0.0,0.0,1.3,0.0,0.0,3508.01000976562,22.9599990844726,36.35,68.7425,0.0001330736908911,0.0057035377355525,75.0,Greed,0,0.0,0.004423178994249316,75.0,0.962283475140917,0.9623031809070208,0.1009004109522771,0.962283475140917,0.9623031809070208,0.1009004109522771,0.5413765705694182,0.5477708859647158,0.1127917960273397,0.9135365461671172,0.9139034155246726,0.1024534495130013
