Date,fng_value,fng_classification
2018/2/1,30,Fear
2018/2/2,15,Extreme Fear
2018/2/3,40,Fear
2018/2/4,24,Extreme Fear
2018/2/5,11,Extreme Fear
2018/2/6,8,Extreme Fear
2018/2/7,36,Fear
2018/2/8,30,Fear
2018/2/9,44,Fear
2018/2/10,54,Neutral
2018/2/11,31,Fear
2018/2/12,42,Fear
2018/2/13,35,Fear
2018/2/14,55,Greed
2018/2/15,71,Greed
2018/2/16,67,Greed
2018/2/17,74,Greed
2018/2/18,63,Greed
2018/2/19,67,Greed
2018/2/20,74,Greed
2018/2/21,54,Neutral
2018/2/22,44,Fear
2018/2/23,39,Fear
2018/2/24,31,Fear
2018/2/25,33,Fear
2018/2/26,37,Fear
2018/2/27,44,Fear
2018/2/28,41,Fear
2018/3/1,38,Fear
2018/3/2,47,Neutral
2018/3/3,56,Greed
2018/3/4,44,Fear
2018/3/5,55,Greed
2018/3/6,59,Greed
2018/3/7,37,Fear
2018/3/8,39,Fear
2018/3/9,37,Fear
2018/3/10,39,Fear
2018/3/11,40,Fear
2018/3/12,41,Fear
2018/3/13,41,Fear
2018/3/14,40,Fear
2018/3/15,32,Fear
2018/3/16,33,Fear
2018/3/17,31,Fear
2018/3/18,29,Fear
2018/3/19,29,Fear
2018/3/20,37,Fear
2018/3/21,36,Fear
2018/3/22,36,Fear
2018/3/23,28,Fear
2018/3/24,32,Fear
2018/3/25,30,Fear
2018/3/26,31,Fear
2018/3/27,24,Extreme Fear
2018/3/28,24,Extreme Fear
2018/3/29,18,Extreme Fear
2018/3/30,12,Extreme Fear
2018/3/31,16,Extreme Fear
2018/4/1,16,Extreme Fear
2018/4/2,11,Extreme Fear
2018/4/3,22,Extreme Fear
2018/4/4,22,Extreme Fear
2018/4/5,17,Extreme Fear
2018/4/6,19,Extreme Fear
2018/4/7,20,Extreme Fear
2018/4/8,17,Extreme Fear
2018/4/9,21,Extreme Fear
2018/4/10,18,Extreme Fear
2018/4/11,20,Extreme Fear
2018/4/12,18,Extreme Fear
2018/4/13,23,Extreme Fear
2018/4/17,26,Fear
2018/4/18,24,Extreme Fear
2018/4/19,25,Extreme Fear
2018/4/20,26,Fear
2018/4/21,32,Fear
2018/4/22,31,Fear
2018/4/23,28,Fear
2018/4/24,29,Fear
2018/4/25,64,Greed
2018/4/26,47,Neutral
2018/4/27,55,Greed
2018/4/28,54,Neutral
2018/4/29,61,Greed
2018/4/30,59,Greed
2018/5/1,56,Greed
2018/5/2,52,Neutral
2018/5/3,55,Greed
2018/5/4,56,Greed
2018/5/5,63,Greed
2018/5/6,67,Greed
2018/5/7,56,Greed
2018/5/8,62,Greed
2018/5/9,53,Neutral
2018/5/10,63,Greed
2018/5/11,41,Fear
2018/5/12,44,Fear
2018/5/13,40,Fear
2018/5/14,40,Fear
2018/5/15,40,Fear
2018/5/16,32,Fear
2018/5/17,31,Fear
2018/5/18,37,Fear
2018/5/19,31,Fear
2018/5/20,32,Fear
2018/5/21,41,Fear
2018/5/22,30,Fear
2018/5/23,26,Fear
2018/5/24,27,Fear
2018/5/25,25,Extreme Fear
2018/5/26,23,Extreme Fear
2018/5/27,19,Extreme Fear
2018/5/28,22,Extreme Fear
2018/5/29,16,Extreme Fear
2018/5/30,38,Fear
2018/5/31,25,Extreme Fear
2018/6/1,24,Extreme Fear
2018/6/2,27,Fear
2018/6/3,40,Fear
2018/6/4,41,Fear
2018/6/5,26,Fear
2018/6/6,42,Fear
2018/6/7,38,Fear
2018/6/8,40,Fear
2018/6/9,39,Fear
2018/6/10,24,Extreme Fear
2018/6/11,15,Extreme Fear
2018/6/12,19,Extreme Fear
2018/6/13,19,Extreme Fear
2018/6/14,17,Extreme Fear
2018/6/15,26,Fear
2018/6/16,22,Extreme Fear
2018/6/17,23,Extreme Fear
2018/6/18,27,Fear
2018/6/19,32,Fear
2018/6/20,34,Fear
2018/6/21,37,Fear
2018/6/22,28,Fear
2018/6/23,17,Extreme Fear
2018/6/24,15,Extreme Fear
2018/6/25,16,Extreme Fear
2018/6/26,21,Extreme Fear
2018/6/27,18,Extreme Fear
2018/6/28,20,Extreme Fear
2018/6/29,16,Extreme Fear
2018/6/30,22,Extreme Fear
2018/7/1,27,Fear
2018/7/2,27,Fear
2018/7/3,31,Fear
2018/7/4,33,Fear
2018/7/5,37,Fear
2018/7/6,34,Fear
2018/7/7,34,Fear
2018/7/8,38,Fear
2018/7/9,39,Fear
2018/7/10,37,Fear
2018/7/11,29,Fear
2018/7/12,33,Fear
2018/7/13,29,Fear
2018/7/14,29,Fear
2018/7/15,32,Fear
2018/7/16,36,Fear
2018/7/17,39,Fear
2018/7/18,42,Fear
2018/7/19,44,Fear
2018/7/20,47,Neutral
2018/7/21,43,Fear
2018/7/22,46,Fear
2018/7/23,44,Fear
2018/7/24,49,Neutral
2018/7/25,54,Neutral
2018/7/26,53,Neutral
2018/7/27,47,Neutral
2018/7/28,54,Neutral
2018/7/29,54,Neutral
2018/7/30,53,Neutral
2018/7/31,48,Neutral
2018/8/1,39,Fear
